Day of School,Month,Date,Schedule Type
1,August,2025-08-18 00:00:00.000000018,Regular Odd
2,August,2025-08-18 00:00:00.000000019,Early Dismissal Even
3,August,2025-08-18 00:00:00.000000020,Rally Schedule Odd
4,August,2025-08-18 00:00:00.000000021,Regular Even
5,August,2025-08-18 00:00:00.000000022,Regular Odd
6,August,2025-08-18 00:00:00.000000025,Regular Even
7,August,2025-08-18 00:00:00.000000026,Early Dismissal Odd
8,August,2025-08-18 00:00:00.000000027,Regular Even
9,August,2025-08-18 00:00:00.000000028,Regular Odd
10,August,2025-08-18 00:00:00.000000029,Regular Even
11,September,2025-08-18 00:00:00.000000002,Regular Odd
12,September,2025-08-18 00:00:00.000000003,Regular Even
13,September,2025-08-18 00:00:00.000000004,Regular Odd
14,September,2025-08-18 00:00:00.000000005,Regular Even
15,September,2025-08-18 00:00:00.000000008,Regular Odd
16,September,2025-08-18 00:00:00.000000009,Early Dismissal Even
17,September,2025-08-18 00:00:00.000000010,Regular Odd
18,September,2025-08-18 00:00:00.000000011,Rally Schedule Even
19,September,2025-08-18 00:00:00.000000012,Regular Odd
20,September,2025-08-18 00:00:00.000000015,Regular Even
21,September,2025-08-18 00:00:00.000000016,Early Dismissal Odd
22,September,2025-08-18 00:00:00.000000017,Regular Even
23,September,2025-08-18 00:00:00.000000018,Regular Odd
24,September,2025-08-18 00:00:00.000000019,Regular Even
25,September,2025-08-18 00:00:00.000000022,Regular Odd
26,September,2025-08-18 00:00:00.000000023,Early Dismissal Even
27,September,2025-08-18 00:00:00.000000024,Regular Odd
28,September,2025-08-18 00:00:00.000000025,Regular Even
29,September,2025-08-18 00:00:00.000000026,Regular Odd
30,September,2025-08-18 00:00:00.000000029,Regular Even
31,October,2025-08-18 00:00:00.000000000,Early Dismissal Odd
32,October,2025-08-18 00:00:00.000000001,Regular Even
33,October,2025-08-18 00:00:00.000000002,Regular Odd
34,October,2025-08-18 00:00:00.000000003,Regular Even
35,October,2025-08-18 00:00:00.000000006,Regular Odd
36,October,2025-08-18 00:00:00.000000007,Early Dismissal Even
37,October,2025-08-18 00:00:00.000000008,Regular Odd
38,October,2025-08-18 00:00:00.000000009,Regular Even
39,October,2025-08-18 00:00:00.000000010,Regular Odd
40,October,2025-08-18 00:00:00.000000013,Regular Even
41,October,2025-08-18 00:00:00.000000014,Regular Odd
42,October,2025-08-18 00:00:00.000000015,Regular Even
43,October,2025-08-18 00:00:00.000000016,Regular Odd
44,October,2025-08-18 00:00:00.000000020,Advisory/Awards Even
45,October,2025-08-18 00:00:00.000000021,Early Dismissal Odd
46,October,2025-08-18 00:00:00.000000022,Regular Even
47,October,2025-08-18 00:00:00.000000023,Regular Odd
48,October,2025-08-18 00:00:00.000000024,Regular Even
49,October,2025-08-18 00:00:00.000000027,Rally Schedule Odd
50,October,2025-08-18 00:00:00.000000028,Early Dismissal Even
51,October,2025-08-18 00:00:00.000000029,Regular Odd
52,October,2025-08-18 00:00:00.000000030,Regular Even
53,November,2025-08-18 00:00:00.000000000,Regular Odd
54,November,2025-08-18 00:00:00.000000003,Regular Even
55,November,2025-08-18 00:00:00.000000004,Early Dismissal Odd
56,November,2025-08-18 00:00:00.000000005,Regular Even
57,November,2025-08-18 00:00:00.000000006,Regular Odd
58,November,2025-08-18 00:00:00.000000007,Regular Even
59,November,2025-08-18 00:00:00.000000011,Regular Odd
60,November,2025-08-18 00:00:00.000000012,Regular Even
61,November,2025-08-18 00:00:00.000000013,Regular Odd
62,November,2025-08-18 00:00:00.000000014,Regular Even
63,November,2025-08-18 00:00:00.000000017,Regular Odd
64,November,2025-08-18 00:00:00.000000018,Early Dismissal Even
65,November,2025-08-18 00:00:00.000000019,Regular Odd
66,November,2025-08-18 00:00:00.000000020,Regular Even
67,November,2025-08-18 00:00:00.000000021,Regular Odd
68,December,2025-08-18 00:00:00.000000001,Regular Even
69,December,2025-08-18 00:00:00.000000002,Early Dismissal Odd
70,December,2025-08-18 00:00:00.000000003,Regular Even
71,December,2025-08-18 00:00:00.000000004,Regular Odd
72,December,2025-08-18 00:00:00.000000005,Regular Even
73,December,2025-08-18 00:00:00.000000008,Regular Odd
74,December,2025-08-18 00:00:00.000000009,Early Dismissal Even
75,December,2025-08-18 00:00:00.000000010,Regular Odd
76,December,2025-08-18 00:00:00.000000011,Regular Even
77,December,2025-08-18 00:00:00.000000012,Regular Odd
78,December,2025-08-18 00:00:00.000000015,Regular Even
79,December,2025-08-18 00:00:00.000000016,Early Dismissal Odd
80,December,2025-08-18 00:00:00.000000017,Regular Even
81,December,2025-08-18 00:00:00.000000018,Regular Odd
82,December,2025-08-18 00:00:00.000000019,Regular Even
83,January,2025-08-18 00:00:00.000000012,Regular Odd
84,January,2025-08-18 00:00:00.000000013,Early Dismissal Even
85,January,2025-08-18 00:00:00.000000014,Regular Odd
86,January,2025-08-18 00:00:00.000000015,Regular Even
87,January,2025-08-18 00:00:00.000000016,Advisory/Awards Odd
88,January,2025-08-18 00:00:00.000000020,Regular Even
89,January,2025-08-18 00:00:00.000000021,Regular Odd
90,January,2025-08-18 00:00:00.000000022,Rally Schedule Even
91,January,2025-08-18 00:00:00.000000023,Regular Odd
92,January,2025-08-18 00:00:00.000000026,Regular Even
93,January,2025-08-18 00:00:00.000000027,Early Dismissal Odd
