Unnamed: 0,Month,Day,Date,Schedule Type,Unit,Lesson #,Pts.,Lesson Title
,August,Fri,1,Summer,,,,
,August,Sat,2,,,,,
,August,Sun,3,,,,,
,August,Mon,4,Summer,,,,
,August,Tue,5,Summer,,,,
,August,Wed,6,Summer,,,,
,August,Thu,7,Summer,,,,
,August,Fri,8,Summer,,,,
,August,Sat,9,,,,,
,August,Sun,10,,,,,
,August,Mon,11,Summer,,,,
,August,Tue,12,Summer,,,,
,August,Wed,13,Summer,,,,
,August,Thu,14,Summer,,,,
,August,Fri,15,Summer,,,,
,August,Sat,16,,,,,
,August,Sun,17,,,,,
1,August,Mon,18,Advisory/Awards Odd,,,,Stuff n' Things
2,August,Tue,19,Early Dismissal Even,,,,Stuff n' Things
3,August,Wed,20,Advisory/Awards Odd,,,,Imago
4,August,Thu,21,Advisory/Awards Even,,,,Imago
5,August,Fri,22,Rally Schedule Odd,,,,Imago
,August,Sat,23,,,,,
,August,Sun,24,,,,,
6,August,Mon,25,Regular Even,,,,Imago
7,August,Tue,26,Early Dismissal Odd,,,,iReady
8,August,Wed,27,Regular Even,,,,iReady
9,August,Thu,28,Regular Odd,,,,iReady
10,August,Fri,29,Regular Even,,,,iReady
,August,Sat,30,,,,,
,August,Sun,31,,,,,
,September,Mon,1,Holiday,,,,
11,September,Tue,2,Regular Odd,,,,iReady
12,September,Wed,3,Regular Even,,,,iReady
13,September,Thu,4,Regular Odd,,,,Imago
14,September,Fri,5,Regular Even,,,,Imago
,September,Sat,6,,,,,
,September,Sun,7,,,,,
15,September,Mon,8,Regular Odd,,,40,All About Me
16,September,Tue,9,Early Dismissal Even,,,40,All About Me
17,September,Wed,10,Regular Odd,Unit 01,0,,Fix The Broken Bot
18,September,Thu,11,Regular Even,Unit 01,0,,Fix The Broken Bot
19,September,Fri,12,Regular Odd,Unit 01,1,15,Mini-Project - Paper Tower
,September,Sat,13,,,,,
,September,Sun,14,,,,,
20,September,Mon,15,Regular Even,Unit 01,1,15,Mini-Project - Paper Tower
21,September,Tue,16,Early Dismissal Odd,Unit 01,2,,The Problem Solving Process
22,September,Wed,17,Regular Even,Unit 01,2,,The Problem Solving Process
23,September,Thu,18,Regular Odd,Unit 01,3,,Exploring Problem Solving
24,September,Fri,19,Regular Even,Unit 01,3,,Exploring Problem Solving
,September,Sat,20,,,,,
,September,Sun,21,,,,,
25,September,Mon,22,Regular Odd,Unit 01,4,,What is a Computer?
26,September,Tue,23,Early Dismissal Even,Unit 01,4,,What is a Computer?
27,September,Wed,24,Regular Odd,Unit 01,5,,Input and Output
28,September,Thu,25,Regular Even,Unit 01,5,,Input and Output
29,September,Fri,26,Regular Odd,Unit 01,6,,Processing
,September,Sat,27,,,,,
,September,Sun,28,,,,,
30,September,Mon,29,Regular Even,Unit 01,6,,Processing
31,September,Tue,30,Early Dismissal Odd,Unit 01,7,,Storage
32,October,Wed,1,Regular Even,Unit 01,7,,Storage
33,October,Thu,2,Regular Odd,Unit 01,8,30,Project - Propose an App
34,October,Fri,3,Regular Even,Unit 01,8,30,Project - Propose an App
,October,Sat,4,,,,,
,October,Sun,5,,,,,
35,October,Mon,6,Golden Hour Odd,Unit 01,8,,Project - Propose an App
36,October,Tue,7,Early Dismissal Even,Unit 01,8,,Project - Propose an App
37,October,Wed,8,Regular Odd,Unit 02,1,,Exploring Web Pages
38,October,Thu,9,Regular Even,Unit 02,1,,Exploring Web Pages
39,October,Fri,10,Regular Odd,Unit 02,2,,Intro to HTML
,October,Sat,11,,,,,
,October,Sun,12,,,,,
40,October,Mon,13,Regular Even,Unit 02,2,,Intro to HTML
41,October,Tue,14,Regular Odd,Unit 02,3,,Headings and Lists
42,October,Wed,15,Regular Even,Unit 02,3,,Headings and Lists
43,October,Thu,16,Regular Odd,Unit 02,4,,Digital Footprint
,October,Fri,17,Holiday,,,,
,October,Sat,18,,,,,
,October,Sun,19,,,,,
44,October,Mon,20,Regular Even,Unit 02,4,,Digital Footprint
45,October,Tue,21,Early Dismissal Odd,Unit 02,5,,Mini-Project - HTML Web Page
